texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
endeble construcción calidad espantoso bastante fácil rompe,negativo,"['endebl', 'construccion', 'calid', 'espant', 'bastant', 'facil', 'romp']",endebl construccion calid espant bastant facil romp,negativo,negativo
increíble servicio rápido bien empaquetado perfecto,positivo,"['increibl', 'servici', 'rap', 'bien', 'empaquet', 'perfect']",increibl servici rap bien empaquet perfect,positivo,positivo
opción sobresaliente mercado duda sin mejor,positivo,"['opcion', 'sobresalient', 'merc', 'dud', 'mejor']",opcion sobresalient merc dud mejor,positivo,positivo
no mal pésimo hecho funciona bastante producto,negativo,"['mal', 'pesim', 'hech', 'funcion', 'bastant', 'product']",mal pesim hech funcion bastant product,negativo,negativo
problema solución uso perfecto diario brillante,positivo,"['problem', 'solucion', 'uso', 'perfect', 'diari', 'brillant']",problem solucion uso perfect diari brillant,positivo,positivo
satisfecho funciones genial perfectamente cumple,positivo,"['satisfech', 'funcion', 'genial', 'perfect', 'cumpl']",satisfech funcion genial perfect cumpl,positivo,positivo
estrellas cinco completamente exactamente esperaba perfecto,positivo,"['estrell', 'cinc', 'complet', 'exact', 'esper', 'perfect']",estrell cinc complet exact esper perfect,positivo,positivo
compra muy extraordinario supera completamente descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'complet', 'descripcion', 'feliz']",compr extraordinari super complet descripcion feliz,positivo,positivo
completamente expectativas rendimiento patético bajo defraudado,negativo,"['complet', 'expect', 'rendimient', 'patet', 'baj', 'defraud']",complet expect rendimient patet baj defraud,negativo,negativo
más algo muy completo aunque aceptable esperaba,neutro,"['complet', 'aunqu', 'acept', 'esper']",complet aunqu acept esper,neutro,neutro
total definitivamente nada estafa descripción horrible,negativo,"['total', 'definit', 'estaf', 'descripcion', 'horribl']",total definit estaf descripcion horribl,negativo,negativo
tiempo buenísimo recomiendo estado llegó perfecto,positivo,"['tiemp', 'buenisim', 'recom', 'lleg', 'perfect']",tiemp buenisim recom lleg perfect,positivo,positivo
duda opción mercado sobresaliente mejor sin,positivo,"['dud', 'opcion', 'merc', 'sobresalient', 'mejor']",dud opcion merc sobresalient mejor,positivo,positivo
gama esperado desempeño media mediano,neutro,"['gam', 'esper', 'desempeñ', 'medi', 'median']",gam esper desempeñ medi median,neutro,neutro
lujos simple básico sin funcional,neutro,"['luj', 'simpl', 'basic', 'funcional']",luj simpl basic funcional,neutro,neutro
inversión pena alta calidad maravilloso vale,positivo,"['inversion', 'pen', 'alta', 'calid', 'maravill', 'val']",inversion pen alta calid maravill val,positivo,positivo
mínimas cubre totalmente suficiente necesidades aceptable,neutro,"['minim', 'cubr', 'total', 'suficient', 'neces', 'acept']",minim cubr total suficient neces acept,neutro,neutro
cubre necesidades mínimas suficiente aceptable,neutro,"['cubr', 'neces', 'minim', 'suficient', 'acept']",cubr neces minim suficient acept,neutro,neutro
terrible aquí compraré nunca más experiencia,negativo,"['terribl', 'aqu', 'compr', 'nunc', 'experient']",terribl aqu compr nunc experient,negativo,negativo
barata fraudulento falsificado imitación producto,negativo,"['barat', 'fraudulent', 'falsific', 'imit', 'product']",barat fraudulent falsific imit product,negativo,negativo
llegó dañado tarde servicio horrible malo,negativo,"['lleg', 'dañ', 'tard', 'servici', 'horribl', 'mal']",lleg dañ tard servici horribl mal,negativo,negativo
promesas vendedor cumple honesto formidable,positivo,"['promes', 'vendedor', 'cumpl', 'honest', 'formid']",promes vendedor cumpl honest formid,positivo,positivo
nada estafa horrible descripción total,negativo,"['estaf', 'horribl', 'descripcion', 'total']",estaf horribl descripcion total,negativo,negativo
nada básico adecuado extraordinario propósito,neutro,"['basic', 'adecu', 'extraordinari', 'proposit']",basic adecu extraordinari proposit,neutro,neutro
dañado tarde llegó horrible servicio malo,negativo,"['dañ', 'tard', 'lleg', 'horribl', 'servici', 'mal']",dañ tard lleg horribl servici mal,negativo,negativo
terrible experiencia nunca más completamente compraré aquí,negativo,"['terribl', 'experient', 'nunc', 'complet', 'compr', 'aqu']",terribl experient nunc complet compr aqu,negativo,negativo
cumple normal realmente básica esperada función,neutro,"['cumpl', 'normal', 'realment', 'basic', 'esper', 'funcion']",cumpl normal realment basic esper funcion,neutro,neutro
horrible llegó servicio dañado malo tarde,negativo,"['horribl', 'lleg', 'servici', 'dañ', 'mal', 'tard']",horribl lleg servici dañ mal tard,negativo,negativo
peor definitivamente arrepentido vida compra nefasto,negativo,"['peor', 'definit', 'arrepent', 'vid', 'compr', 'nefast']",peor definit arrepent vid compr nefast,negativo,negativo
básico nada propósito extraordinario adecuado,neutro,"['basic', 'proposit', 'extraordinari', 'adecu']",basic proposit extraordinari adecu,neutro,neutro
dinero definitivamente no pérdida tiempo recomiendo,negativo,"['diner', 'definit', 'perd', 'tiemp', 'recom']",diner definit perd tiemp recom,negativo,negativo
estupendo ciertamente calidad relación precio insuperable,positivo,"['estupend', 'ciert', 'calid', 'relacion', 'preci', 'insuper']",estupend ciert calid relacion preci insuper,positivo,positivo
calidad relación precio estupendo insuperable,positivo,"['calid', 'relacion', 'preci', 'estupend', 'insuper']",calid relacion preci estupend insuper,positivo,positivo
horrible total nada descripción estafa,negativo,"['horribl', 'total', 'descripcion', 'estaf']",horribl total descripcion estaf,negativo,negativo
producto mediocre sobrevalorado completamente caro lamentable,negativo,"['product', 'mediocr', 'sobrevalor', 'complet', 'car', 'lament']",product mediocr sobrevalor complet car lament,negativo,negativo
calidad precio totalmente recomiendo excelente producto,positivo,"['calid', 'preci', 'total', 'recom', 'excelent', 'product']",calid preci total recom excelent product,positivo,positivo
desastroso inútil malo diseño incómodo,negativo,"['desastr', 'inutil', 'mal', 'diseñ', 'incomod']",desastr inutil mal diseñ incomod,negativo,negativo
común ordinario corriente impresionante nada,neutro,"['comun', 'ordinari', 'corrient', 'impresion']",comun ordinari corrient impresion,neutro,neutro
no promete publicidad decepcionante cumple engañosa,negativo,"['promet', 'public', 'decepcion', 'cumpl', 'engañ']",promet public decepcion cumpl engañ,negativo,negativo
temporal emergencia sirve ciertamente pasable solución,neutro,"['temporal', 'emergent', 'sirv', 'ciert', 'pasabl', 'solucion']",temporal emergent sirv ciert pasabl solucion,neutro,neutro
suficiente cubre realmente necesidades mínimas aceptable,neutro,"['suficient', 'cubr', 'realment', 'neces', 'minim', 'acept']",suficient cubr realment neces minim acept,neutro,neutro
precio estupendo relación insuperable calidad,positivo,"['preci', 'estupend', 'relacion', 'insuper', 'calid']",preci estupend relacion insuper calid,positivo,positivo
sin básico simple lujos funcional,neutro,"['basic', 'simpl', 'luj', 'funcional']",basic simpl luj funcional,neutro,neutro
muy expectativas satisfecho compra muy superó,positivo,"['expect', 'satisfech', 'compr', 'super']",expect satisfech compr super,positivo,positivo
diseño funcional fabuloso elegante práctico,positivo,"['diseñ', 'funcional', 'fabul', 'eleg', 'practic']",diseñ funcional fabul eleg practic,positivo,positivo
esperada ciertamente cumple función básica normal,neutro,"['esper', 'ciert', 'cumpl', 'funcion', 'basic', 'normal']",esper ciert cumpl funcion basic normal,neutro,neutro
hecho funciona pésimo muy no mal producto,negativo,"['hech', 'funcion', 'pesim', 'mal', 'product']",hech funcion pesim mal product,negativo,negativo
sin decente problemas particular funciona,neutro,"['decent', 'problem', 'particul', 'funcion']",decent problem particul funcion,neutro,neutro
defectuoso malísimo desde muy inicio funciona mal,negativo,"['defectu', 'malisim', 'inici', 'funcion', 'mal']",defectu malisim inici funcion mal,negativo,negativo
cumple no decepcionante ciertamente publicidad promete engañosa,negativo,"['cumpl', 'decepcion', 'ciert', 'public', 'promet', 'engañ']",cumpl decepcion ciert public promet engañ,negativo,negativo
fácil rompe construcción endeble espantoso calidad,negativo,"['facil', 'romp', 'construccion', 'endebl', 'espant', 'calid']",facil romp construccion endebl espant calid,negativo,negativo
impresionante nada común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
excelente producto definitivamente calidad precio recomiendo totalmente,positivo,"['excelent', 'product', 'definit', 'calid', 'preci', 'recom', 'total']",excelent product definit calid preci recom total,positivo,positivo
inútil completamente malo diseño incómodo desastroso,negativo,"['inutil', 'complet', 'mal', 'diseñ', 'incomod', 'desastr']",inutil complet mal diseñ incomod desastr,negativo,negativo
magnífico calidad excepcional producto premium,positivo,"['magnif', 'calid', 'excepcional', 'product', 'premium']",magnif calid excepcional product premium,positivo,positivo
funcional lujos simple sin básico,neutro,"['funcional', 'luj', 'simpl', 'basic']",funcional luj simpl basic,neutro,neutro
ciertamente calidad regular mercado promedio estándar,neutro,"['ciert', 'calid', 'regul', 'merc', 'promedi', 'estand']",ciert calid regul merc promedi estand,neutro,neutro
propósito compra insatisfecho muy sirve absolutamente no,negativo,"['proposit', 'compr', 'insatisfech', 'sirv', 'absolut']",proposit compr insatisfech sirv absolut,negativo,negativo
precio relación insuperable calidad estupendo,positivo,"['preci', 'relacion', 'insuper', 'calid', 'estupend']",preci relacion insuper calid estupend,positivo,positivo
vida nefasto peor arrepentido compra,negativo,"['vid', 'nefast', 'peor', 'arrepent', 'compr']",vid nefast peor arrepent compr,negativo,negativo
impresionante nada común ordinario sin duda corriente,neutro,"['impresion', 'comun', 'ordinari', 'dud', 'corrient']",impresion comun ordinari dud corrient,neutro,neutro
deficiente esperado calidad inferior basura,negativo,"['deficient', 'esper', 'calid', 'inferior', 'basur']",deficient esper calid inferior basur,negativo,negativo
destacable más cumple descripción sin,neutro,"['destac', 'cumpl', 'descripcion']",destac cumpl descripcion,neutro,neutro
básica absolutamente esperada normal cumple función,neutro,"['basic', 'absolut', 'esper', 'normal', 'cumpl', 'funcion']",basic absolut esper normal cumpl funcion,neutro,neutro
genial satisfecho perfectamente funciones cumple,positivo,"['genial', 'satisfech', 'perfect', 'funcion', 'cumpl']",genial satisfech perfect funcion cumpl,positivo,positivo
esperaba más aceptable algo completo aunque,neutro,"['esper', 'acept', 'complet', 'aunqu']",esper acept complet aunqu,neutro,neutro
cubre suficiente aceptable totalmente necesidades mínimas,neutro,"['cubr', 'suficient', 'acept', 'total', 'neces', 'minim']",cubr suficient acept total neces minim,neutro,neutro
producto está bien nada especial cumple,neutro,"['product', 'bien', 'especial', 'cumpl']",product bien especial cumpl,neutro,neutro
bastante ordinario impresionante corriente nada común,neutro,"['bastant', 'ordinari', 'impresion', 'corrient', 'comun']",bastant ordinari impresion corrient comun,neutro,neutro
construcción ciertamente calidad impresionante excelente durabilidad,positivo,"['construccion', 'ciert', 'calid', 'impresion', 'excelent', 'durabil']",construccion ciert calid impresion excelent durabil,positivo,positivo
sin decente problemas particular funciona,neutro,"['decent', 'problem', 'particul', 'funcion']",decent problem particul funcion,neutro,neutro
muy hecho pésimo producto funciona mal no,negativo,"['hech', 'pesim', 'product', 'funcion', 'mal']",hech pesim product funcion mal,negativo,negativo
perfecto esperaba cinco exactamente estrellas,positivo,"['perfect', 'esper', 'cinc', 'exact', 'estrell']",perfect esper cinc exact estrell,positivo,positivo
muy insatisfecho compra no sirve propósito,negativo,"['insatisfech', 'compr', 'sirv', 'proposit']",insatisfech compr sirv proposit,negativo,negativo
fácil calidad rompe construcción endeble bastante espantoso,negativo,"['facil', 'calid', 'romp', 'construccion', 'endebl', 'bastant', 'espant']",facil calid romp construccion endebl bastant espant,negativo,negativo
esperada absolutamente normal función básica cumple,neutro,"['esper', 'absolut', 'normal', 'funcion', 'basic', 'cumpl']",esper absolut normal funcion basic cumpl,neutro,neutro
brillante solución problema perfecto uso diario,positivo,"['brillant', 'solucion', 'problem', 'perfect', 'uso', 'diari']",brillant solucion problem perfect uso diari,positivo,positivo
rendimiento defraudado expectativas patético bajo,negativo,"['rendimient', 'defraud', 'expect', 'patet', 'baj']",rendimient defraud expect patet baj,negativo,negativo
funciona inicio desde bastante malísimo mal defectuoso,negativo,"['funcion', 'inici', 'bastant', 'malisim', 'mal', 'defectu']",funcion inici bastant malisim mal defectu,negativo,negativo
tiene está buenas cosas malas ok,neutro,"['buen', 'cos', 'mal']",buen cos mal,neutro,neutro
perfecto tiempo recomiendo buenísimo llegó estado,positivo,"['perfect', 'tiemp', 'recom', 'buenisim', 'lleg']",perfect tiemp recom buenisim lleg,positivo,positivo
uso solución brillante problema perfecto diario,positivo,"['uso', 'solucion', 'brillant', 'problem', 'perfect', 'diari']",uso solucion brillant problem perfect diari,positivo,positivo
sirve temporal pasable definitivamente emergencia solución,neutro,"['sirv', 'temporal', 'pasabl', 'definit', 'emergent', 'solucion']",sirv temporal pasabl definit emergent solucion,neutro,neutro
pobre materiales baratos frágil construcción,negativo,"['pobr', 'material', 'barat', 'fragil', 'construccion']",pobr material barat fragil construccion,negativo,negativo
pagado correcto para precio razonable,neutro,"['pag', 'correct', 'preci', 'razon']",pag correct preci razon,neutro,neutro
aceptable esperaba algo más sin duda completo aunque,neutro,"['acept', 'esper', 'dud', 'complet', 'aunqu']",acept esper dud complet aunqu,neutro,neutro
endeble fácil rompe calidad construcción espantoso,negativo,"['endebl', 'facil', 'romp', 'calid', 'construccion', 'espant']",endebl facil romp calid construccion espant,negativo,negativo
bastante mercado mejor opción sobresaliente duda sin,positivo,"['bastant', 'merc', 'mejor', 'opcion', 'sobresalient', 'dud']",bastant merc mejor opcion sobresalient dud,positivo,positivo
total absolutamente nada estafa descripción horrible,negativo,"['total', 'absolut', 'estaf', 'descripcion', 'horribl']",total absolut estaf descripcion horribl,negativo,negativo
satisfecho funciones cumple genial perfectamente,positivo,"['satisfech', 'funcion', 'cumpl', 'genial', 'perfect']",satisfech funcion cumpl genial perfect,positivo,positivo
fantástico mejor compra año definitivamente volveré,positivo,"['fantast', 'mejor', 'compr', 'año', 'definit', 'volv']",fantast mejor compr año definit volv,positivo,positivo
pagado para razonable correcto precio,neutro,"['pag', 'razon', 'correct', 'preci']",pag razon correct preci,neutro,neutro
cumple producto especial está bien nada,neutro,"['cumpl', 'product', 'especial', 'bien']",cumpl product especial bien,neutro,neutro
confiable duradero increíblemente bueno resistente,positivo,"['confiabl', 'durader', 'increibl', 'buen', 'resistent']",confiabl durader increibl buen resistent,positivo,positivo
deplorable cliente absolutamente servicio nulo atención,negativo,"['deplor', 'client', 'absolut', 'servici', 'nul', 'atencion']",deplor client absolut servici nul atencion,negativo,negativo
pérdida no dinero recomiendo tiempo,negativo,"['perd', 'diner', 'recom', 'tiemp']",perd diner recom tiemp,negativo,negativo
volveré absolutamente mejor año definitivamente fantástico compra,positivo,"['volv', 'absolut', 'mejor', 'año', 'definit', 'fantast', 'compr']",volv absolut mejor año definit fantast compr,positivo,positivo
común impresionante nada ordinario corriente,neutro,"['comun', 'impresion', 'ordinari', 'corrient']",comun impresion ordinari corrient,neutro,neutro
impresionante común nada corriente ordinario,neutro,"['impresion', 'comun', 'corrient', 'ordinari']",impresion comun corrient ordinari,neutro,neutro
opción sobresaliente mercado duda sin mejor,positivo,"['opcion', 'sobresalient', 'merc', 'dud', 'mejor']",opcion sobresalient merc dud mejor,positivo,positivo
fantástico mejor realmente volveré año definitivamente compra,positivo,"['fantast', 'mejor', 'realment', 'volv', 'año', 'definit', 'compr']",fantast mejor realment volv año definit compr,positivo,positivo
endeble construcción calidad espantoso fácil rompe,negativo,"['endebl', 'construccion', 'calid', 'espant', 'facil', 'romp']",endebl construccion calid espant facil romp,negativo,negativo
llegó dañado sin duda tarde servicio horrible malo,negativo,"['lleg', 'dañ', 'dud', 'tard', 'servici', 'horribl', 'mal']",lleg dañ dud tard servici horribl mal,negativo,negativo
hecho mal producto pésimo no funciona,negativo,"['hech', 'mal', 'product', 'pesim', 'funcion']",hech mal product pesim funcion,negativo,negativo
resistente duradero increíblemente bueno confiable,positivo,"['resistent', 'durader', 'increibl', 'buen', 'confiabl']",resistent durader increibl buen confiabl,positivo,positivo
llegó malo horrible servicio tarde dañado,negativo,"['lleg', 'mal', 'horribl', 'servici', 'tard', 'dañ']",lleg mal horribl servici tard dañ,negativo,negativo
expectativas muy absolutamente compra superó satisfecho,positivo,"['expect', 'absolut', 'compr', 'super', 'satisfech']",expect absolut compr super satisfech,positivo,positivo
construcción calidad impresionante excelente durabilidad,positivo,"['construccion', 'calid', 'impresion', 'excelent', 'durabil']",construccion calid impresion excelent durabil,positivo,positivo
gama esperado mediano media desempeño,neutro,"['gam', 'esper', 'median', 'medi', 'desempeñ']",gam esper median medi desempeñ,neutro,neutro
lamentable sobrevalorado producto mediocre caro,negativo,"['lament', 'sobrevalor', 'product', 'mediocr', 'car']",lament sobrevalor product mediocr car,negativo,negativo
sin funciona problemas decente particular,neutro,"['funcion', 'problem', 'decent', 'particul']",funcion problem decent particul,neutro,neutro
impresionante nada común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
peligroso inseguro evitar abominable producto,negativo,"['peligr', 'insegur', 'evit', 'abomin', 'product']",peligr insegur evit abomin product,negativo,negativo
destacable descripción cumple completamente sin más,neutro,"['destac', 'descripcion', 'cumpl', 'complet']",destac descripcion cumpl complet,neutro,neutro
desastroso incómodo definitivamente inútil diseño malo,negativo,"['desastr', 'incomod', 'definit', 'inutil', 'diseñ', 'mal']",desastr incomod definit inutil diseñ mal,negativo,negativo
